id;start_date;end_date;language
1;2022-12-18T07:10:49;2022-12-18T05:01:04;ENGLISH
2;2022-12-17T16:38:24;2022-12-18T02:03:53;FRENCH
3;2022-12-18T02:34:36;2022-12-17T14:39:44;SPANISH
4;2022-12-18T07:05:25;2022-12-17T12:31:44;FRENCH
5;2022-12-18T09:21:48;2022-12-17T17:40:46;ENGLISH
6;2022-12-17T18:52:31;2022-12-18T08:52:51;SPANISH
7;2022-12-18T02:56:19;2022-12-17T13:30:28;FRENCH
8;2022-12-17T17:22:12;2022-12-17T13:58:01;FRENCH
9;2022-12-17T18:13:50;2022-12-18T05:45:16;FRENCH
10;2022-12-17T14:10:48;2022-12-18T07:08:17;FRENCH
